City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
170,ulladulla,-35.35,150.4667,9.87,75,27,0.16,AU,1680275092
171,matagami,49.7502,-77.6328,-1.94,59,40,2.06,CA,1680275092
172,fort nelson,58.8053,-122.7002,-4.23,96,100,3.09,CA,1680275092
173,ahuimanu,21.4447,-157.8378,22.84,92,20,0.45,US,1680275092
174,kaitangata,-46.2817,169.8464,9.11,95,39,1.77,NZ,1680275092
175,lake havasu city,34.4839,-114.3224,13.59,55,0,1.34,US,1680275092
176,mangrol,21.1167,70.1167,25.17,73,0,4.74,IN,1680275092
177,weiden,49.6775,12.1567,11.02,80,0,6.69,DE,1680275092
178,chokurdakh,70.6333,147.9167,-20.6,95,100,4.86,RU,1680275092
179,abeokuta,7.15,3.35,30.46,61,100,2.52,NG,1680275093
180,fenyi,27.8112,114.6681,16.89,81,74,0.71,CN,1680275093
181,broome,42.2506,-75.833,6.87,55,100,4.12,US,1680275093
182,vanimo,-2.6741,141.3028,25.81,86,100,1.05,PG,1680275093
183,thompson,55.7435,-97.8558,-15.91,66,75,1.54,CA,1680274808
184,san pedro,14.35,121.0167,28.57,73,20,3.09,PH,1680274794
185,torbay,47.6666,-52.7314,1.82,84,75,4.12,CA,1680275093
186,dali,25.7,100.1833,11.4,62,0,2.83,CN,1680275093
187,meulaboh,4.1363,96.1285,25.92,85,100,1.07,ID,1680275093
188,devonport,-41.1667,146.35,8.34,85,4,3.17,AU,1680275093
189,kamenka,51.3223,42.7678,2.87,86,100,7.69,RU,1680275094
190,bathsheba,13.2167,-59.5167,29.34,61,40,10.29,BB,1680274868
191,santa isabel,-23.3156,-46.2214,29.61,66,12,2.55,BR,1680275027
192,dingle,10.9995,122.6711,25.18,76,74,2.81,PH,1680275094
193,zlitan,32.4674,14.5687,21.44,43,4,5.41,LY,1680275094
194,shubarkuduk,49.1447,56.4872,16.98,57,99,4.38,KZ,1680275094
195,severnyy,50.677,36.5532,2.02,87,100,2.0,RU,1680275094
196,boone,39.0334,-92.3335,21.34,89,100,8.42,US,1680274949
197,grand gaube,-20.0064,57.6608,28.22,74,2,2.24,MU,1680275094
198,quelimane,-17.8786,36.8883,26.97,65,75,4.63,MZ,1680275094
199,mount pleasant,32.7941,-79.8626,24.44,69,75,3.6,US,1680275095
200,kashan,33.9831,51.4364,23.77,20,75,7.2,IR,1680275095
201,qaqortoq,60.7167,-46.0333,-3.53,65,17,0.78,GL,1680275095
202,vardo,70.3705,31.1107,-9.01,79,0,5.14,NO,1680275095
203,margate,51.3813,1.3862,12.17,86,100,4.02,GB,1680275095
204,magole,-6.3667,37.3667,27.54,64,65,2.08,TZ,1680275096
205,iwanai,42.9744,140.5089,4.18,61,1,4.67,JP,1680274847
206,colares,38.7992,-9.4469,20.55,73,40,5.81,PT,1680275096
207,jiangyou,31.7667,104.7167,16.9,72,98,0.71,CN,1680275096
208,florianopolis,-27.6146,-48.5012,27.57,70,40,3.09,BR,1680275096
209,eyl,7.9803,49.8164,27.76,67,20,4.32,SO,1680275096
210,vysokogornyy,50.1167,139.15,-5.71,97,25,0.6,RU,1680275096
